Secured Property Tax Payment History,,,,,,,,,,,,,,,
Parcel Number   :  061-052-020,,,,,,,,,,,,,,,
status ,done,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Roll,Payment,Payment,Inst #,Batch #,Seq #,Penalty,Fee,Tax,Payment,Payment,,,,,
Year,Date,Type,,,,Amount,Amount,Amount,Amount,Status,,,,,
,,,,,,,,,,,,,,,
2023,2022-10-23 00:00:00,Cash/Check ,2 ,,,0,0,49682.53,=I8,Paid  ,,,,,
2023,2022-10-23 00:00:00,Cash/Check ,1 ,,,0,0,49682.53,=I9,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I8+I9,=J8+J9,,=I10,,,,
,,,,,,,,,,,,,,,
2022,2022-11-01 00:00:00,Cash/Check ,2 ,,,0,0,48509.04,=I12,Paid  ,,,,,
2022,2023-02-01 00:00:00,Cash/Check ,1 ,,,0,0,48509.04,=I13,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I12+I13,=J12+J13,,=I14,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2021,2020-11-20 00:00:00,Cash/Check ,2 ,,,0,0,47712.33,=I17,Paid  ,,,,,
2021,2020-11-20 00:00:00,Cash/Check ,1 ,,,0,0,47712.33,=I18,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I17+I18,=J17+J18,,=I19,,,,
,,,,,,,,,,,,,,,
2020,2020-11-20 00:00:00,Cash/Check ,2 ,,,0,0,47342.17,=I21,Paid  ,,,,,
2020,2020-11-20 00:00:00,Cash/Check ,1 ,,,0,0,47342.17,=I22,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I21+I22,=J21+J22,,=I23,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2019,2019-10-28 00:00:00,Cash/Check ,2 ,,,0,0,46793.09,=I26,Paid  ,,,,,
2019,2019-10-28 00:00:00,Cash/Check ,1 ,,,0,0,46793.09,=I27,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I26+I27,=J26+J27,,=I28,,,,
,,,,,,,,,,,,,,,
2018,2018-10-19 00:00:00,Cash/Check ,2 ,,,0,0,45663.23,=I30,Paid  ,,,,,
2018,2018-10-19 00:00:00,Cash/Check ,1 ,,,0,0,45663.23,=I31,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I30+I31,=J30+J31,,=I32,,,,
,,,,,,,,,,,,,,,
2017,2017-10-27 00:00:00,Cash/Check ,2 ,,,0,0,45403.59,=I34,Paid  ,,,,,
2017,2017-10-27 00:00:00,Cash/Check ,1 ,,,0,0,45403.59,=I35,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I34+I35,=J34+J35,,=I36,,,,
,,,,,,,,,,,,,,,
2016,2016-10-27 00:00:00,Cash/Check ,2 ,,,0,0,44382.24,=I38,Paid  ,,,,,
2016,2016-10-27 00:00:00,Cash/Check ,1 ,,,0,0,44382.24,=I39,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I38+I39,=J38+J39,,=I40,,,,
,,,,,,,,,,,,,,,
2015,2015-10-27 00:00:00,Cash/Check ,2 ,,,0,0,44018.29,=I42,Paid  ,,,,,
2015,2015-10-27 00:00:00,Cash/Check ,1 ,,,0,0,44018.29,=I43,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I42+I43,=J42+J43,,=I44,,,,
,,,,,,,,,,,,,,,
2014,2014-10-29 00:00:00,Cash/Check ,2 ,,,0,0,43221.37,=I46,Paid  ,,,,,
2014,2014-10-29 00:00:00,Cash/Check ,1 ,,,0,0,43221.37,=I47,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I38+I47,=J38+J47,,=I48,,,,
,,,,,,,,,,,,,,,
2013  ,10/11/2013 ,Cash/Check ,2 ,9013 ,2162 ,0,0,34605.56,34605.56,Paid  ,,,,,
2013  ,10/11/2013 ,Cash/Check ,1 ,9013 ,2161 ,0,0,34605.56,34605.56,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I50+I51,=J50+J51,,=I52,,,,
,,,,,,,,,,,,,,,
2012  ,10/26/2012 ,Cash/Check ,2 ,9013 ,945 ,0,0,34758.3,=I54,Paid  ,,,,,
2012  ,10/26/2012 ,Cash/Check ,1 ,9013 ,944 ,0,0,34758.3,=I55,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I54+I55,=J54+J55,,=J56,,,,
,,,,,,,,,,,,,,,
2011  ,01/23/2012 ,Cash/Check ,2 ,1004 ,23 ,0,0,34774.33,=I58,Paid  ,,,,,
2011  ,01/23/2012 ,Cash/Check ,1 ,1004 ,22 ,3477.43,0,34774.33,38251.76,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I58+I59,=J58+J59,,=J60,,,,
,,,,,,,,,,,,,,,
2010  ,02/16/2011 ,Cash/Check ,2 ,1006 ,175 ,0,0,40263.36,=I62,Paid  ,,,,,
2010  ,11/01/2010 ,Cash/Check ,1 ,1002 ,161 ,0,0,40263.36,=I63,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I62+I63,=J62+J63,,=I64,,,,
,,,,,,,,,,,,,,,
