Basis Analysis,,,,,,,,,,,,,,,
"3553 Old Mission Road, Traverse City MI",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key Facts and Assumptions,,,,,,,,"Purchase Price Allocation - updated March 26, 2018 per Greg Seman basis analysis",,,,,,,
,,,,,,,,,,,,,,,
Purchase Price,1461500,per sales contract,,,,,,Residential,,,,,,,
Sale Date,2017-12-13 00:00:00,,,,,,,   Home,598555,confirmed by Greg S,,,,,
Gross Living Area,2874,,,,,,,   non agriculture land,=B74,=B73,estimated allocation pro rata,,,,
Basement,1460,,,,,,,Subtotal,=SUM(J7:J8),=J9/J19,,,,,
Land Total - acres,53,per appraisal report,,,,,,,,,,,,,
productive vineyard acres,7.4,per appraisal report,,,,,,,,,,,,,
non planted vineyard land,=B10-B11,,,,,Life,Method,Farming,,,,,,,
phase 1 vienyard expansion,9.7,per survey report,,,,40,150% DB,   Barns and Farm Structures,=B32,per appraisal - confirmed by Greg S,,,,,
rye growth area,20,estimate,,,,15,150% DB,   Wells and other improvements,=B31,per appraisal - confirmed by Greg S,,,,,
unallocated - non farm,=B10-B11-B13-B14,"woods area, house area, non plantable",,,,10,150% DB,   Established Vineyard Value,138500,confirmed by Greg S,,,,,
Value of existing grapes / acre,25000,estimate for OMP area,,,,,,  Agriculture Land,396710,=B75,estimated allocation pro rata,,,,
,,,,,,,,Subtotal,=SUM(J13:J16),=J17/J19,,,,,
Appraisal Data,per appraisal report,(a),,,,,,,,,,,,,
,,,,,,,,Grand Total,=J17+J9,slight delta to purchase price,,,,,
Dwelling:,,,,,,,,,,,,,,,
   Home,445470,(a),,,,10,150% DB,Farm Equipment Purchase,58000,ties to purchase agreement; includes tractor and other,,,,,
   Basement,112420,(a),,,,,,,,,,,,,
   Appliances,45000,(a),,,,,,Grand Total,=J19+J21,,,,,,
   Carport,40320,(a),,,,,,,,,,,,,
Replacement Cost,=SUM(B21:B24),(a),,,,,,   Total Land,=J16+J8,confirmed by Greg S,,,,,
   less depreciation,=-50010,(a) rounded,,,,,,,,,,,,,
Net House value,=B25+B26,(a),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Land/Farm:,,,,,,,,,,,,,,,
Site/Land Value,580000,(a),,,,,,Summary of 2017 Transaction costs,,,,,,,
Site Improvements,85000,(a),,,,,,,,,,,,,
"Structures - Pole Bldg, Barn, Stable",98000,(a),,,,,,Legal fees to close real estate deal,6682.32,total,,,,,
,,,,,,,,,=J32*K17,allocation to farm,,,,,
Land/Farm,=SUM(B30:B33),(a),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Subtotal Appraised Value,=B34+B27,(a),,,,,,,,,,,,,
Purchase Price,=B6,,,,,,,,,,,,,,
delta to explain,=B37-B36,(b),note - appraisal was expressly conducted to EXCLUDE the agriculural/crop value of the vineyards on the 8 acres,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Adjusted Land/Farm Value,=B38+B34,(b) (1),equal to land delta plus appaised land value,,,,,,,,,,,,
Net House value,=B27,(a),,,,,,,,,,,,,
Total Value/Basis,=B40+B41,,this agrees to total purchase price,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Analysis of Farm / Land Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Adjusted Land/Farm Value,=B40,(1),from above,,,,,,,,,,,,
Site Improvements,=B31,(2a),these should be depreciated as part of farming operation,,,,,,,,,,,,
Value of Farm Structures,=B32,(2b),these should be depreciated as part of farming operation,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Remaining Value of Land,=B47-B48-B49, (3) = (1) - (2a and 2b),,,,,,,,,,,,,
  extra value for vineyard acres,=B16*B11,(4) - establishment cost per acre extra value for vineyard; to be depreciated,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  value of raw 53 acres,=B51-B52,(5),,,,,,,,,,,,,
  average per acre w/out vineyard,=B54/B10,this is the per acre value of raw unimproved land,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Summary of Farm/Land Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Site Improvements,=B48,,,,,,,,,,,,,,
Value of Farm Structures,=B49,,,,,,,,,,,,,,
  extra value for vineyard acres,=B52,,,,,,,,,,,,,,
  value of raw 53 acres,=B54,need to break this down into non ag use versus ag use,,,,,,,,,,,,,
Total,=SUM(B60:B63),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Analysis of Land Use of 53 acres,,,,,,,,,,,,,,,
   Current Vineyard,=B11,,,,,,,,,,,,,,
   Planned Future Vineyard,=B13,,,,,,,,,,,,,,
   Planned for Rye,20,,,,,,,,,,,,,,
Subtotal Agricultural,=SUM(B68:B70),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total land - non agricultural,=B10-B71,,,,,,,,,,,,,,
   value,=B73*B55,allocate to residence,,,,,,,,,,,,,
Total Land Agricultural,=B71,,,,,,,,,,,,,,
   value,=B75*B55,allocate to farm,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total raw land value - w/out vineyard,=B76+B74,,,,,,,,,,,,,,
