2025 Taxes,,,,,,,
Old Mission Foundation Activity,,,,,,,
2025 Taxes,, ,,,,,
Old Mission Foundation LLC,,,,,,,
Wells Fargo Account #1898900061 - 2025 Bank Activity,,,,,,,
"401 Ryland St, Ste 200, Reno NV 89502",,,,,,,
,,,,,,,
Month,Opening Balance,Deposit 1,Deposit 2,Withdrawal 1,Withdrawal 2,Ending Balance,Comments
January 2025,276506.01,0,,0,,=B9+C9+D9-E9-F9,No activity
February 2025,=G9,0,,0,,=B10+C10+D10-E10-F10,No activity
March 2025,276506.01,0,,6216.84,,=B11+C11+D11-E11-F11,Chk#1013 3/28 - Keystone CPA tax & audit services
April 2025,270289.17,0,,0,,=B12+C12+D12-E12-F12,No activity
May 2025,270289.17,0,,0,,=B13+C13+D13-E13-F13,No activity
June 2025,270289.17,0,,21730,,=B14+C14+D14-E14-F14,"Chk#1014 6/12 - Keystone CPA accounting fees (Inv#10816 $14,204.05 + Inv#10879 $7,525.95)"
July 2025,248559.17,0,,0,,=B15+C15+D15-E15-F15,No activity
August 2025,248559.17,0,,0,,=B16+C16+D16-E16-F16,No activity
September 2025,248559.17,0,,0,,=B17+C17+D17-E17-F17,No activity
October 2025,248559.17,0,,0,,=B18+C18+D18-E18-F18,No activity
November 2025,248559.17,0,,11202.62,,=B19+C19+D19-E19-F19,Chk#1015 11/18 - Keystone CPA accounting services
December 2025,237356.55,99648,,10000,,=B20+C20+D20-E20-F20,"Chk#1017 12/19 $10K Mitchell Thorpe donation; Dep 12/22 $99,648 interco interest; Dep 12/26 $99,648"
TOTALS,,=SUM(C9:C20),=SUM(D9:D20),=SUM(E9:E20),=SUM(F9:F20),=B21+C21+D21-E21-F21,net activity for 2025
,,,,,,,
Summary,,,,,,,
Opening Balance (1/1/2025),276506.01,,,,,,
Ending Balance (12/31/2025),327004.55,,,,,,
Net Change,=B25-B24,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
