2025 Property Taxes,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lot Number,Address,Summer,Winter,Total,,,,,
061-052-020,162 James Avenue Atherton CA,,104136.7,=C6+D6,per statement,,,,
167-63-019,100 First Street Unit 209 Los Altos CA,,20415.84,=C7+D7,rental condo per statement,,,,
A02-000-00049,5 acres in Clearfield County Dubois PA,0,52.35,=C8+D8,empty lot,,,,
1419-10-001-039,3503 Golf Club Drive Douglas County NV,0,7534.99,=C9+D9,empty lot - paid online from checking,,,,
004-765-108-00,12755 S Marina Village Drive Slip #108,1166.75,162,=C10+D10,pd via check 7/7/25,,,,
11-234-026-00,3469 Old Mission Road-rental house,7297.92,1864.93,=C11+D11,rental house,,,,
11-234-026-12,5 acres 3553 Old Mission Road-Center Rd,2848.1,727.76,=C12+D12,farm,,,,
11-234-035-55,main 3553 Old Mission Road-farm,14945.01,6256.83,=C13+D13,=0.4896*(E13+E12),amount for farm at 48.96%,,,
11-336-025-10,6733 Peninsula Drive,1108.23,283.16,=C14+D14,,,,,
11-336-026-50,6644 Peninsula Drive,7631.97,1950.31,=C15+D15,,,,,
,,,,,,,,,
,Total for Farm,=C12+C13,=D12+D13,=E12+E13,,,,,
,  farm basis calc ,=$C$22*C17,=$C$22*D17,=$C$22*E17,total farm with allocation,,,,
,,,,,,,,,
,,,,,,,,,
,Total Farm,,,,,,,,
,   basis for farm,0.4896,,,,,,,
,   basis for house,=1-C22,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Clear Creek tax is fully paid in one installment($7,533.49). Double checked with the Tax office this morning.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,need to check if summer taxes were paid and need winter tax bills,,,,,,,,
