Basis Analysis,,,,,,,,,,,,,,,
"3553 Old Mission Road, Traverse City MI",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key Facts and Assumptions,,,,,,,,"Purchase Price Allocation - updated March 26, 2018 per Greg Seman basis analysis",,,,,,,
,,,,,,,,,,,,,,,
Purchase Price,1461500,per sales contract,,,,,,Residential,,,,,,,
Sale Date,2017-12-13 00:00:00,,,,,,,   Home,598555,confirmed by Greg S,,,,,
Gross Living Area,2874,,,,,,,   non agriculture land,150089.99999999997,15.899999999999999,estimated allocation pro rata,,,,
Basement,1460,,,,,,,Subtotal,748645,0.5103742360356,,,,,
Land Total - acres,53,per appraisal report,,,,,,,,,,,,,
productive vineyard acres,7.4,per appraisal report,,,,,,,,,,,,,
non planted vineyard land,45.6,,,,,Life,Method,Farming,,,,,,,
phase 1 vienyard expansion,9.7,per survey report,,,,40,150% DB,   Barns and Farm Structures,98000,per appraisal - confirmed by Greg S,,,,,
rye growth area,20,estimate,,,,15,150% DB,   Wells and other improvements,85000,per appraisal - confirmed by Greg S,,,,,
unallocated - non farm,15.900000000000006,"woods area, house area, non plantable",,,,10,150% DB,   Established Vineyard Value,138500,confirmed by Greg S,,,,,
Value of existing grapes / acre,25000,estimate for OMP area,,,,,,  Agriculture Land,396710,37.1,estimated allocation pro rata,,,,
,,,,,,,,Subtotal,718210,0.48962576396440005,,,,,
Appraisal Data,per appraisal report,(a),,,,,,,,,,,,,
,,,,,,,,Grand Total,1466855,slight delta to purchase price,,,,,
Dwelling:,,,,,,,,,,,,,,,
   Home,445470,(a),,,,10,150% DB,Farm Equipment Purchase,58000,ties to purchase agreement; includes tractor and other,,,,,
   Basement,112420,(a),,,,,,,,,,,,,
   Appliances,45000,(a),,,,,,Grand Total,1524855,,,,,,
   Carport,40320,(a),,,,,,,,,,,,,
Replacement Cost,643210,(a),,,,,,   Total Land,546800,confirmed by Greg S,,,,,
   less depreciation,-50010,(a) rounded,,,,,,,,,,,,,
Net House value,593200,(a),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Land/Farm:,,,,,,,,,,,,,,,
Site/Land Value,580000,(a),,,,,,Summary of 2017 Transaction costs,,,,,,,
Site Improvements,85000,(a),,,,,,,,,,,,,
"Structures - Pole Bldg, Barn, Stable",98000,(a),,,,,,Legal fees to close real estate deal,6682.32,total,,,,,
,,,,,,,,,3271.8360350545895,allocation to farm,,,,,
Land/Farm,763000,(a),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Subtotal Appraised Value,1356200,(a),,,,,,,,,,,,,
Purchase Price,1461500,,,,,,,,,,,,,,
delta to explain,105300,(b),note - appraisal was expressly conducted to EXCLUDE the agriculural/crop value of the vineyards on the 8 acres,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Adjusted Land/Farm Value,868300,(b) (1),equal to land delta plus appaised land value,,,,,,,,,,,,
Net House value,593200,(a),,,,,,,,,,,,,
Total Value/Basis,1461500,,this agrees to total purchase price,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Analysis of Farm / Land Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Adjusted Land/Farm Value,868300,(1),from above,,,,,,,,,,,,
Site Improvements,85000,(2a),these should be depreciated as part of farming operation,,,,,,,,,,,,
Value of Farm Structures,98000,(2b),these should be depreciated as part of farming operation,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Remaining Value of Land,685300, (3) = (1) - (2a and 2b),,,,,,,,,,,,,
  extra value for vineyard acres,185000,(4) - establishment cost per acre extra value for vineyard; to be depreciated,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  value of raw 53 acres,500300,(5),,,,,,,,,,,,,
  average per acre w/out vineyard,9439.622641509433,this is the per acre value of raw unimproved land,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Summary of Farm/Land Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Site Improvements,85000,,,,,,,,,,,,,,
Value of Farm Structures,98000,,,,,,,,,,,,,,
  extra value for vineyard acres,185000,,,,,,,,,,,,,,
  value of raw 53 acres,500300,need to break this down into non ag use versus ag use,,,,,,,,,,,,,
Total,868300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Analysis of Land Use of 53 acres,,,,,,,,,,,,,,,
   Current Vineyard,7.4,,,,,,,,,,,,,,
   Planned Future Vineyard,9.7,,,,,,,,,,,,,,
   Planned for Rye,20,,,,,,,,,,,,,,
Subtotal Agricultural,37.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total land - non agricultural,15.899999999999999,,,,,,,,,,,,,,
   value,150089.99999999997,allocate to residence,,,,,,,,,,,,,
Total Land Agricultural,37.1,,,,,,,,,,,,,,
   value,350210,allocate to farm,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total raw land value - w/out vineyard,500300,,,,,,,,,,,,,,
